"","vin","stock_number","is_new","year","make","model","body_style","trim","odometer","color","color","price","image_url","url","interior_color","fuel_type"
0,"3GNCJLSB1GL133008","A49778LT",True,2016,"Chevrolet","Trax","","Utility 4D L",58096,"Orange","",14300.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/8a84cf4b801ac2c0de161c8b4c1751d509cdfccb.jpg","https://dealer.vip/dnkcMMXryDUc","",""
1,"3N1AB7AP2JY263183","A49773GT",False,2018,"Nissan","Sentra","","Sedan 4D SR ",33372,"Orange","",17989.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/a403460236d34a1df0fe58c9aa34940b427460c9.jpg","https://dealer.vip/QGWdqpdNR2dD","",""
2,"KL79MPSLXNB030997","A49783GT",False,2022,"Chevrolet","TrailBlazer","","Utility 4D L",24841,"Orange","",27989.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/3edf26caa2451027d2bd1f9884fb25f3f6af024e.jpg","https://dealer.vip/uRGeFxRccvMT","",""
3,"KL7CJLSB7LB336079","A49781GT",False,2020,"Chevrolet","Trax","","Utility 4D L",20858,"Orange","",21989.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/23705f8d25090235d6e0e0e68307a208b47926c4.jpg","https://dealer.vip/hjDrgvxZjO4F","",""
4,"1GNERHKW6LJ230885","A49772GT",False,2020,"Chevrolet","Traverse","","Utility 4D L",98344,"Orange","",26989.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/bc1bbb52c8816641c4012bb9969ef58a2f86c566.jpg","https://dealer.vip/KAh-gzRFo5Yg","",""
5,"1V2YR2CA9KC583046","A49779GT",False,2019,"Volkswagen","Atlas","","Utility 4D S",57777,"Orange","",27989.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/3256d6ed16fbdc3b37d44f4a67f7d792b703d10e.jpg","https://dealer.vip/2QILymhtf_rE","",""
6,"1GNDT13W6Y2221480","A49770XT",False,2000,"Chevrolet","TrailBlazer","","LT w/2LT",0,"Orange","",6400.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/0bfd19161298e7944d53315596029eae102bb039.jpg","https://dealer.vip/2vLEIa9C3vvX","",""
7,"3VWRG3AG9AM017486","A49768GT",False,2010,"Volkswagen","New Beetle","","Coupe 2D w/S",132947,"Orange","",8989.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/71b5e02d1d740ab2bf559f21edbe976cf6cc8be8.jpg","https://dealer.vip/Lam25GSZbqV8","",""
8,"1G1JC5SHXE4112227","A49771PT",False,2014,"Chevrolet","Sonic","","Sedan 4D LT ",112200,"Orange","",8300.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/05df3c1cf588c06ca553c4a265ca35e1f55ef9a0.jpg","https://dealer.vip/TH0jdALGMaac","",""
9,"WAUACGFF6F1011634","A49751HA",False,2015,"Audi","A3","","Sedan 4D 1.8",59310,"Orange","",19989.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/c40df2560f1bfeb347fb75a0f570dfe61f83d709.jpg","https://dealer.vip/gYhQJddKxYFt","",""
